time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/value_loss,train/loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/clip_range
837,-60.83636363636364,186.0,2048,1,2,,,,,,,,,,
656,-56.98181818181819,180.36363636363637,4096,2,6,-1.3793410286307335,0.010210488,-0.009781007772835438,10,7.264099033176899,2.2713260650634766,0.0003,-0.013983607292175293,0.0875,0.2
615,-58.31212121212122,182.33333333333334,6144,3,9,-1.3748880364000797,0.01044187,-0.009630437937448732,20,17.086211328208446,9.823673248291016,0.0003,0.08441370725631714,0.09755859375,0.2
587,-58.68181818181818,182.1818181818182,8192,4,13,-1.3675420548766852,0.008594259,-0.008784019757877104,30,18.439833794534206,9.6621675491333,0.0003,0.19142723083496094,0.080810546875,0.2
539,-56.761403508771934,178.43859649122808,10240,5,18,-1.360226009786129,0.009065786,-0.00784859733103076,40,25.09403902888298,3.003304958343506,0.0003,0.2196979522705078,0.101904296875,0.2
530,-54.06857142857143,174.8,12288,6,23,-1.3439084772020577,0.009301111,-0.012029706226894633,50,56.450685647130015,36.53622817993164,0.0003,0.11174577474594116,0.1099609375,0.2
517,-52.84578313253011,172.0722891566265,14336,7,27,-1.3371755134314298,0.009357132,-0.009739538117719349,60,88.54041486978531,49.53600311279297,0.0003,0.02573317289352417,0.09130859375,0.2
514,-52.02736842105263,171.14736842105262,16384,8,31,-1.3348462786525488,0.008452023,-0.008911694017297123,70,78.68143332600593,36.25288009643555,0.0003,0.05567944049835205,0.09375,0.2
512,-51.18000000000001,169.25,18432,9,35,-1.3270054265856743,0.012600521,-0.007497298515954753,80,89.56301644444466,53.202152252197266,0.0003,-0.0390782356262207,0.129296875,0.2
511,-50.831,168.93,20480,10,40,-1.3270059693604708,0.011206674,-0.013169771777756977,90,88.89630851745605,40.39968490600586,0.0003,-0.004437446594238281,0.12431640625,0.2
505,-46.145999999999994,161.04,22528,11,44,-1.331852500885725,0.0106668845,-0.009733280912041665,100,67.63957722485065,34.965476989746094,0.0003,0.08622419834136963,0.12998046875,0.2
504,-43.977,157.41,24576,12,48,-1.3141309138387443,0.0071216477,-0.010161391345900484,110,186.41252462863923,56.028560638427734,0.0003,-0.05643010139465332,0.0818359375,0.2
502,-44.019,156.76,26624,13,52,-1.315679946541786,0.010186087,-0.01143666097195819,120,120.15336685180664,35.04654312133789,0.0003,-0.009858489036560059,0.144287109375,0.2
492,-45.906000000000006,158.85,28672,14,58,-1.3019114688038826,0.010348193,-0.0073336945613846185,130,98.10181512236595,35.60397720336914,0.0003,-0.10413360595703125,0.083984375,0.2
488,-46.167,159.85,30720,15,62,-1.3042856890708208,0.011451103,-0.00790086613415042,140,67.1729287803173,42.646968841552734,0.0003,-0.029242634773254395,0.16669921875,0.2
465,-45.048,157.51,32768,16,70,-1.2931111630052328,0.008551788,-0.007682889736315701,150,124.98958827257157,48.839271545410156,0.0003,0.06114792823791504,0.08671875,0.2
466,-44.36,155.76,34816,17,74,-1.2599202360957862,0.010899831,-0.01075006006649346,160,157.26457454562188,41.166839599609375,0.0003,0.017818033695220947,0.112255859375,0.2
464,-41.961000000000006,151.87,36864,18,79,-1.2456719517707824,0.0112586375,-0.009984941321454244,170,159.51183086633682,79.09425354003906,0.0003,0.06611615419387817,0.0884765625,0.2
443,-41.625,151.88,38912,19,87,-1.254461770132184,0.01445179,-0.012295000989979599,180,175.11130967140198,127.22905731201172,0.0003,-0.12211239337921143,0.1076171875,0.2
448,-39.373,148.34,40960,20,91,-1.2526914898306132,0.01053202,-0.011564358138275565,190,149.0065612077713,44.92045211791992,0.0003,0.009199380874633789,0.113134765625,0.2
452,-39.704,149.15,43008,21,95,-1.2341756340116263,0.011135812,-0.0111176757098292,200,136.8808475255966,97.06395721435547,0.0003,0.05702465772628784,0.143505859375,0.2
446,-38.20300000000001,146.76,45056,22,100,-1.2465663481503726,0.01681501,-0.007248315720062237,210,90.93267228007316,51.19497299194336,0.0003,-0.2729560136795044,0.197021484375,0.2
434,-37.417,145.28,47104,23,108,-1.2490569271147252,0.010676781,-0.006075311417225749,220,119.41637434959412,34.82772445678711,0.0003,-0.00788271427154541,0.125,0.2
435,-36.524999999999984,143.72,49152,24,112,-1.2201184127479792,0.0103433505,-0.012435203397762962,230,135.67068428993224,44.4292106628418,0.0003,0.013174712657928467,0.126904296875,0.2
440,-37.099,143.91,51200,25,116,-1.212960870936513,0.0106152855,-0.008357795888150577,240,123.3343855023384,62.06527328491211,0.0003,0.09124964475631714,0.112841796875,0.2
442,-36.437000000000005,141.71,53248,26,120,-1.2190274473279714,0.010360381,-0.009880881212302484,250,151.54151818752288,91.15672302246094,0.0003,0.007934153079986572,0.11904296875,0.2
445,-36.777,141.75,55296,27,124,-1.2069502167403698,0.009545206,-0.012538265871990006,260,118.0801798939705,46.986515045166016,0.0003,0.07045584917068481,0.132275390625,0.2
448,-34.271,138.15,57344,28,127,-1.2098356280475855,0.013882673,-0.013032614607800497,270,114.64013339281082,46.18738555908203,0.0003,-0.1211860179901123,0.1423828125,0.2
451,-33.632999999999996,135.57,59392,29,131,-1.2220017671585084,0.013508141,-0.012082568647747394,280,115.81149554252625,49.13794708251953,0.0003,-0.0420687198638916,0.14990234375,0.2
453,-28.22,126.36,61440,30,135,-1.1688347056508064,0.011074712,-0.007431662737508305,290,108.59000599384308,44.80047607421875,0.0003,0.08418506383895874,0.111083984375,0.2
455,-28.626000000000005,126.04,63488,31,139,-1.1595219686627387,0.0076978905,-0.008249207501648925,300,117.1954651594162,62.831111907958984,0.0003,0.06470733880996704,0.091748046875,0.2
458,-26.817000000000004,123.71,65536,32,143,-1.200248908624053,0.014871769,-0.013183611028944142,310,103.84379729032517,28.957773208618164,0.0003,0.0917590856552124,0.148681640625,0.2
460,-27.016,124.57,67584,33,146,-1.1720492038875818,0.012865523,-0.008697145200858358,320,95.35370494127274,39.666648864746094,0.0003,0.08239889144897461,0.115966796875,0.2
462,-29.766000000000005,128.39,69632,34,150,-1.2332046400755643,0.009951174,-0.007065810314088594,330,63.03408166766167,28.941753387451172,0.0003,0.14511454105377197,0.16171875,0.2
463,-28.191999999999997,126.24,71680,35,154,-1.2203069180250168,0.015123555,-0.008921461831778287,340,63.3295012652874,38.9872932434082,0.0003,0.12376320362091064,0.187255859375,0.2
463,-33.204,133.43,73728,36,159,-1.2288896199315786,0.012327748,-0.011255369456193876,350,75.75336995124817,40.06159973144531,0.0003,0.05521667003631592,0.153173828125,0.2
464,-32.397,132.62,75776,37,163,-1.2005188152194024,0.013328459,-0.009409779312409227,360,57.516990998387335,23.303743362426758,0.0003,0.10340702533721924,0.1548828125,0.2
465,-33.953,135.0,77824,38,167,-1.1829235836863519,0.0128281005,-0.00921917944942834,370,101.9398960351944,28.42022132873535,0.0003,0.09914326667785645,0.128369140625,0.2
467,-35.405,137.31,79872,39,170,-1.2041273269802333,0.012098752,-0.0101272262603743,380,98.88660328388214,40.73881912231445,0.0003,0.04807025194168091,0.1376953125,0.2
469,-35.332,137.21,81920,40,174,-1.2062777779996394,0.012278875,-0.009989430665154942,390,97.13847880363464,42.45218276977539,0.0003,0.09950876235961914,0.126611328125,0.2
470,-34.30200000000001,135.28,83968,41,178,-1.2007447175681591,0.013088535,-0.010530259768711404,400,77.08224678039551,28.222503662109375,0.0003,0.14297038316726685,0.158642578125,0.2
