time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/clip_range,train/value_loss,train/n_updates,train/learning_rate,train/loss,train/entropy_loss,train/explained_variance
551,32.833333333333336,220.88888888888889,2048,3,1,,,,,,,,,,
485,39.37894736842105,211.10526315789474,4096,8,2,-0.02233330448216293,0.018069861,0.187451171875,0.2,18.4913813367486,4910,0.0003,3.721440315246582,-0.7703964820131659,0.8231227397918701
463,55.47352941176471,179.85294117647058,6144,13,3,-0.02316854673990747,0.013998978,0.1640625,0.2,17.661091022193432,4920,0.0003,5.357822895050049,-0.6959330344572663,0.8811968564987183
454,56.59347826086958,176.82608695652175,8192,18,4,-0.019293808142538182,0.011410106,0.110302734375,0.2,20.142511209845544,4930,0.0003,7.463904857635498,-0.5149283107370138,0.9116737842559814
450,57.87241379310345,175.01724137931035,10240,22,5,-0.01713940929475939,0.018616578,0.155078125,0.2,12.42375401929021,4940,0.0003,4.498456954956055,-0.6169808304868638,0.9287288784980774
447,53.122727272727275,183.96969696969697,12288,27,6,-0.023609254363691434,0.016125107,0.1376953125,0.2,15.480091434717178,4950,0.0003,5.587629318237305,-0.6170105950906872,0.9414228200912476
445,51.568000000000005,186.41333333333333,14336,32,7,-0.017097733027185313,0.018188726,0.182275390625,0.2,12.342354336380959,4960,0.0003,3.136962890625,-0.8051350641995668,0.9334445595741272
442,50.490697674418605,188.9418604651163,16384,37,8,-0.013734583240875509,0.016160697,0.168408203125,0.2,14.377192254364491,4970,0.0003,5.703319549560547,-0.7673823371529579,0.9430612325668335
429,52.019191919191904,186.15151515151516,18432,42,9,-0.02163744970894186,0.01549308,0.159814453125,0.2,17.09921778142452,4980,0.0003,5.242884635925293,-0.6675284064374865,0.9515237808227539
431,53.738,182.69,20480,47,10,-0.022282208580872976,0.013032932,0.13212890625,0.2,23.942434148490428,4990,0.0003,10.159082412719727,-0.6281904964707792,0.9404283165931702
431,54.132999999999996,180.79,22528,52,11,-0.011970268133154605,0.017838646,0.147314453125,0.2,15.187692326307296,5000,0.0003,5.710268974304199,-0.6027285704389215,0.942915678024292
431,51.25200000000001,186.21,24576,56,12,-0.01763309283560375,0.013828222,0.127783203125,0.2,23.780056004226207,5010,0.0003,6.942763805389404,-0.6160347274504602,0.9314548373222351
