time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/fps,train/value_loss,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/loss,train/approx_kl,train/clip_fraction,train/explained_variance
11,694.0,172.55,1,2048,174,,,,,,,,,,
25,659.3333333333334,186.73333333333335,2,4096,160,14.794897959381341,0.0003,14690,-0.5329769918695092,0.2,-0.016670617219642737,3.171719551086426,0.019179726,0.135498046875,0.9292625188827515
44,665.0,185.24444444444444,3,6144,136,14.53678689301014,0.0003,14700,-0.4350784432142973,0.2,-0.01645492413372267,5.41119384765625,0.014878882,0.11484375,0.9562541842460632
57,681.5833333333334,174.30000000000004,4,8192,142,16.205662547051908,0.0003,14710,-0.5185565320774913,0.2,-0.018026490783086047,5.2984490394592285,0.010536484,0.12666015625,0.9624543190002441
70,690.4285714285714,169.9714285714286,5,10240,146,19.38777624964714,0.0003,14720,-0.6251375116407871,0.2,-0.0192823863166268,5.554980278015137,0.016979631,0.15341796875,0.9636588096618652
82,696.5294117647059,165.13529411764708,6,12288,149,17.999038928747176,0.0003,14730,-0.550486872997135,0.2,-0.015677533599955495,3.14078688621521,0.012608358,0.101611328125,0.9756671190261841
93,698.3,153.52500000000003,7,14336,153,19.98565980345011,0.0003,14740,-0.5742434358224273,0.2,-0.023112542714807206,9.586138725280762,0.017830746,0.160498046875,0.9817730784416199
105,696.9565217391304,156.57826086956524,8,16384,155,13.506687792390585,0.0003,14750,-0.6698488310910762,0.2,-0.013422571889532265,1.9716877937316895,0.021237997,0.149365234375,0.9725009799003601
116,707.0769230769231,152.09230769230768,9,18432,157,31.357052157819272,0.0003,14760,-0.5314982082694769,0.2,-0.017472837569221154,18.611103057861328,0.008383635,0.097900390625,0.984790563583374
130,713.7142857142857,149.60357142857143,10,20480,156,18.078233581781387,0.0003,14770,-0.6967855365946889,0.2,-0.011361427530937362,5.051191329956055,0.016417056,0.154150390625,0.9902446866035461
151,716.6129032258065,148.99677419354842,11,22528,148,11.048812867701054,0.0003,14780,-0.601076767873019,0.2,-0.015234033984597772,2.7131030559539795,0.013698314,0.12373046875,0.9924904108047485
166,721.6666666666666,145.04242424242426,12,24576,147,17.319787216186523,0.0003,14790,-0.5810842979699373,0.2,-0.013655497474246658,9.71130657196045,0.011254197,0.11318359375,0.9919438362121582
180,728.1944444444445,141.52222222222224,13,26624,147,9.068838334083557,0.0003,14800,-0.7314451206475496,0.2,-0.011125515871390235,2.1201231479644775,0.013831168,0.138427734375,0.9938827753067017
