time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/n_updates,train/clip_fraction,train/explained_variance,train/clip_range,train/approx_kl,train/learning_rate,train/loss,train/entropy_loss,train/policy_gradient_loss,train/value_loss
2,-58.39,977,190.0,2048,1,,,,,,,,,,
5,-62.05714285714285,687,192.38095238095238,4096,2,10,0.103564453125,0.004421114921569824,0.2,0.009473863,0.0003,3.6144731044769287,-1.3782742787152529,-0.013287554853013717,10.131727872788906
10,-54.6,602,180.41176470588235,6144,3,20,0.11708984375,0.30318349599838257,0.2,0.011501538,0.0003,1.5843980312347412,-1.3679178427904843,-0.010485660257108976,8.428518482297658
13,-49.836170212765964,616,172.95744680851064,8192,4,30,0.11943359375,0.15979647636413574,0.2,0.01174704,0.0003,11.268560409545898,-1.3594936206936836,-0.01110303749446757,38.71441036462784
16,-44.95645161290323,616,163.9516129032258,10240,5,40,0.06240234375,0.057239413261413574,0.2,0.009008159,0.0003,24.478368759155273,-1.3399008695036172,-0.012282946493360213,49.284280648827554
19,-37.17160493827161,614,151.2716049382716,12288,6,50,0.08642578125,0.01929563283920288,0.2,0.007613935,0.0003,28.008092880249023,-1.314193532243371,-0.011509287825901993,66.89049959480762
23,-33.93838383838384,621,144.7979797979798,14336,7,60,0.07294921875,-0.044947028160095215,0.2,0.007813427,0.0003,35.1914176940918,-1.2934111893177032,-0.010863536380202276,95.753324842453
26,-25.235999999999994,621,129.78,16384,8,70,0.116015625,0.010740280151367188,0.2,0.013556326,0.0003,34.68236541748047,-1.2702265005558728,-0.012121428236423527,84.19040879011155
29,-15.890999999999998,621,112.87,18432,9,80,0.144970703125,-0.012646794319152832,0.2,0.009901736,0.0003,33.536468505859375,-1.262941475212574,-0.012913122322061099,81.3818137049675
32,-14.585,625,109.3,20480,10,90,0.125927734375,-0.006689786911010742,0.2,0.010761218,0.0003,30.331674575805664,-1.2431602790951728,-0.013619057118194177,77.66410455703735
