time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/entropy_loss,train/n_updates,train/value_loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/loss,train/policy_gradient_loss,train/learning_rate,train/clip_range
2048,1,184.54545454545453,-58.98181818181818,206,9,,,,,,,,,,
4096,2,163.68,-46.391999999999996,174,23,-1.3781954895704984,10,10.892806363850832,0.0034322142601013184,0.108984375,0.009094661,5.859588623046875,-0.012558282892860007,0.0003,0.2
6144,3,159.21052631578948,-44.110526315789464,166,36,-1.3651372909545898,20,26.0625048995018,0.06180781126022339,0.116845703125,0.011009778,15.539624214172363,-0.016304362495429815,0.0003,0.2
8192,4,153.45283018867926,-40.53962264150943,165,49,-1.353036293387413,30,33.51098483800888,0.037910282611846924,0.126171875,0.011605839,30.719877243041992,-0.011698688437172677,0.0003,0.2
10240,5,155.53846153846155,-42.041538461538465,163,62,-1.3344000209122897,40,45.37545873522758,0.0573805570602417,0.129638671875,0.011355536,26.235754013061523,-0.014687212888384238,0.0003,0.2
12288,6,148.0120481927711,-37.3855421686747,161,75,-1.319309613481164,50,42.888794782757756,0.11175131797790527,0.1169921875,0.011882828,21.745006561279297,-0.011403225456888322,0.0003,0.2
14336,7,146.10204081632654,-36.436734693877554,159,89,-1.3097055070102215,60,85.52057900428773,0.02687925100326538,0.119921875,0.011899546,33.288780212402344,-0.014929393451893702,0.0003,0.2
16384,8,137.06,-31.005,155,105,-1.2947848204523325,70,63.223564970493314,-0.1251087188720703,0.10859375,0.009752598,22.34406089782715,-0.009782617897144519,0.0003,0.2
18432,9,128.39,-25.881,155,118,-1.2957559652626514,80,73.2456746995449,0.01812070608139038,0.115478515625,0.010033256,45.95928192138672,-0.011752351254108362,0.0003,0.2
20480,10,119.7,-21.067999999999998,156,130,-1.2646953351795673,90,72.2307547569275,0.02954578399658203,0.103125,0.009371269,39.74763870239258,-0.012669653345074038,0.0003,0.2
22528,11,106.18,-14.034,157,143,-1.2329379927366972,100,64.1633600950241,0.12415874004364014,0.10537109375,0.009755597,30.201845169067383,-0.012340885671437717,0.0003,0.2
24576,12,99.58,-11.099,159,153,-1.2021152310073375,110,57.19753453731537,0.033894121646881104,0.11171875,0.010984732,22.569448471069336,-0.012435063399607316,0.0003,0.2
26624,13,92.02,-8.229,159,166,-1.1936339277774095,120,46.33011708259583,0.06550449132919312,0.138818359375,0.01272481,19.351730346679688,-0.010930059829843231,0.0003,0.2
28672,14,91.09,-8.229000000000001,158,180,-1.150779029354453,130,44.64496704339981,-0.012400150299072266,0.12421875,0.01155038,17.47791862487793,-0.011138665111502632,0.0003,0.2
30720,15,88.86,-7.435,156,196,-1.16285337805748,140,37.17153997421265,-0.30435502529144287,0.1525390625,0.01803963,15.383560180664062,-0.007494035613490269,0.0003,0.2
32768,16,87.54,-6.3229999999999995,155,210,-1.1493036817759275,150,43.172560793161395,0.04876244068145752,0.11376953125,0.012031415,26.432933807373047,-0.011359514732612297,0.0003,0.2
34816,17,88.87,-7.462000000000001,151,229,-1.1758546344935894,160,38.02698655128479,-0.03997182846069336,0.15537109375,0.017213583,13.447758674621582,-0.013469132069440093,0.0003,0.2
36864,18,92.51,-10.374999999999998,152,242,-1.1210496287792922,170,32.6751272380352,0.01258242130279541,0.15390625,0.014876022,14.446656227111816,-0.011089450688450598,0.0003,0.2
38912,19,95.22,-12.488,152,254,-1.1341576661914587,180,29.30069215297699,-0.10681390762329102,0.169970703125,0.01627084,14.338724136352539,-0.00945591632189462,0.0003,0.2
40960,20,94.22,-11.755999999999998,153,267,-1.1358059644699097,190,28.6582403331995,-0.014867186546325684,0.171240234375,0.013020603,10.748357772827148,-0.009598645190999377,0.0003,0.2
43008,21,92.38,-10.74,150,286,-1.12143629565835,200,38.88969123363495,-0.10002422332763672,0.158544921875,0.014043173,19.3516788482666,-0.013085182460781653,0.0003,0.2
45056,22,88.13,-7.7429999999999986,150,299,-1.126290962100029,210,34.02148446142674,0.21093791723251343,0.150537109375,0.012954715,10.360316276550293,-0.010743720486061648,0.0003,0.2
47104,23,81.24,-2.82,154,305,-1.0825463254004717,220,31.25429023504257,0.2537083029747009,0.13564453125,0.014185384,10.935663223266602,-0.011250630713766441,0.0003,0.2
